1~14_rank_cnt	15~29_rank_cnt	30~43_rank_cnt	mean_rank	min_rank	max_rank
1.973	2.069	1.958	21.994	6.319	37.816
1.082	1.112	1.07	4.715	5.038	4.814
2.0	2.0	2.0	22.0	5.0	39.0
