number	mean_dist
6	6.51
37	6.7
38	6.72
42	6.72
2	6.73
21	6.78
24	6.79
19	6.82
26	6.89
22	6.9
10	6.9
15	6.94
27	6.94
35	6.97
43	7.0
39	7.0
5	7.01
16	7.03
36	7.07
32	7.08
18	7.12
20	7.12
30	7.15
28	7.17
23	7.18
12	7.2
1	7.2
8	7.24
4	7.24
25	7.25
14	7.3
31	7.32
3	7.34
33	7.43
40	7.45
11	7.49
41	7.52
29	7.55
34	7.56
13	7.68
17	7.7
7	7.72
9	8.11
