回号	1~14_rank	15~29_rank	30~43_rank	mean_rank	min_rank	max_rank	1~14_rank_z	15~29_rank_z	30~43_rank_z	mean_rank_z	min_rank_z	max_rank_z	anomaly_score
第2056回	1	3	2	25.0	1	37	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.6403170065829559	-1.040183003548187	-0.15719481927060613	1.7841945349213497
第2055回	2	2	2	19.67	5	37	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.4870111231615235	-0.25195105441293253	-0.15719481927060613	0.12601530114832138
第2054回	0	3	3	28.0	20	35	-1.8292036808754686	0.839213213331123	0.9700146474286917	1.2748356537186856	2.7039187548442714	-0.5678360548421288	3.638431541635283
第2053回	2	2	2	24.83	11	42	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.6043609499119308	0.9303968692899491	0.8694082696582007	0.12601530114832138
第2052回	1	1	4	28.17	12	38	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.3107917103897107	1.1274548565737628	0.04812579851515525	3.7653208878935502
第2051回	1	1	4	27.5	13	39	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.1690825458627305	1.3245128438575764	0.25344641630091663	3.7653208878935502
第2050回	1	2	3	30.0	4	43	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	1.6978480851425053	-0.4490090416967461	1.0747288874439622	1.935544498076327
第2049回	2	3	1	19.83	6	34	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.45317012864761863	-0.05489306712911891	-0.7731566726278902	1.7484688984548296
第2048回	0	3	3	30.17	17	43	-1.8292036808754686	0.839213213331123	0.9700146474286917	1.7338041418135304	2.1127447929928307	1.0747288874439622	3.638431541635283
第2047回	1	1	4	28.67	13	42	-0.9034248879912523	-0.9634231386438888	1.898472861258409	1.4165448182456655	1.3245128438575764	0.8694082696582007	3.7653208878935502
第2046回	3	1	2	20.5	7	40	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.3114609641206387	0.1421649201546947	0.458767034086678	1.9531122700200436
第2045回	3	2	1	17.67	2	33	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.9100235545853433	-0.8431250162643733	-0.9784772904136516	1.897139440664306
第2044回	1	3	2	25.17	11	34	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.676273063253981	0.9303968692899491	-0.7731566726278902	1.7841945349213497
第2043回	1	2	3	26.0	6	40	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.8518232222948657	-0.05489306712911891	0.458767034086678	1.935544498076327
第2042回	0	2	4	32.83	19	42	-1.8292036808754686	-0.062104962656382955	1.898472861258409	2.29641067560721	2.506860767560458	0.8694082696582007	3.7897815047902608
第2041回	0	2	4	33.17	17	43	-1.8292036808754686	-0.062104962656382955	1.898472861258409	2.36832278894926	2.1127447929928307	1.0747288874439622	3.7897815047902608
第2040回	2	1	3	24.0	5	40	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.42881079087104595	-0.25195105441293253	0.458767034086678	1.9557916909655444
第2039回	2	1	3	27.17	7	41	0.02235390489296395	-0.9634231386438888	0.9700146474286917	1.0992854946778008	0.1421649201546947	0.6640876518724393	1.9557916909655444
第2038回	1	2	3	26.5	7	42	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.9575763301508207	0.1421649201546947	0.8694082696582007	1.935544498076327
第2037回	2	4	0	16.0	7	29	0.02235390489296395	1.7405313893186287	-1.81535999406046	-1.2632389348242332	0.1421649201546947	-1.7997597615566971	3.5782452882720523
第2036回	3	3	0	13.5	1	28	0.9481326977771802	0.839213213331123	-1.81535999406046	-1.792004474104008	-1.040183003548187	-2.0050803793424588	3.6027059051687633
第2035回	4	1	1	12.0	1	30	1.8739114906613967	-0.9634231386438888	-0.8869017802307427	-2.109263797671873	-1.040183003548187	-1.5944391437709358	3.724236409536028
第2034回	1	3	2	24.17	4	41	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.46476684754207104	-0.4490090416967461	0.6640876518724393	1.7841945349213497
第2033回	2	3	1	21.0	9	35	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.2057078562646837	0.5362808947223219	-0.5678360548421288	1.7484688984548296
第2032回	0	1	5	35.0	25	40	-1.8292036808754686	-0.9634231386438888	2.826931075088126	2.755379163702055	3.6892086912633397	0.458767034086678	5.619557894607484
第2031回	2	3	1	19.67	5	37	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.4870111231615235	-0.25195105441293253	-0.15719481927060613	1.7484688984548296
第2030回	3	1	2	22.33	1	43	0.9481326977771802	-0.9634231386438888	0.04155643359897447	0.07559541063215608	-1.040183003548187	1.0747288874439622	1.9531122700200436
第2029回	4	2	0	13.67	4	25	1.8739114906613967	-0.062104962656382955	-1.81535999406046	-1.7560484174329833	-0.4490090416967461	-2.6210422326997427	3.75137644737824
第2028回	1	4	1	21.5	10	31	-0.9034248879912523	1.7405313893186287	-0.8869017802307427	-0.09995474840872877	0.7333388820061355	-1.3891185259851744	3.5308580575406237
第2027回	2	3	1	19.33	1	42	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.5589232365035736	-1.040183003548187	0.8694082696582007	1.7484688984548296
第2026回	1	3	2	23.17	11	38	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.2532606318301611	0.9303968692899491	0.04812579851515525	1.7841945349213497
第2025回	1	2	3	25.17	12	38	-0.9034248879912523	-0.062104962656382955	0.9700146474286917	0.676273063253981	1.1274548565737628	0.04812579851515525	1.935544498076327
第2024回	3	2	1	18.0	4	38	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-0.8402265034004134	-0.4490090416967461	0.04812579851515525	1.897139440664306
第2023回	3	2	1	17.0	9	38	0.9481326977771802	-0.062104962656382955	-0.8869017802307427	-1.0517327191123234	0.5362808947223219	0.04812579851515525	1.897139440664306
第2022回	0	4	2	27.83	18	41	-1.8292036808754686	1.7405313893186287	0.04155643359897447	1.2388795970476605	2.3098027802766445	0.6640876518724393	3.6112915037930717
第2021回	1	3	2	24.33	11	40	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.49860784205597586	0.9303968692899491	0.458767034086678	1.7841945349213497
第2020回	2	1	3	26.83	11	43	0.02235390489296395	-0.9634231386438888	0.9700146474286917	1.0273733813357506	0.9303968692899491	1.0747288874439622	1.9557916909655444
第2019回	2	3	1	19.83	3	43	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.45317012864761863	-0.6460670289805597	1.0747288874439622	1.7484688984548296
第2018回	1	3	2	26.33	11	40	-0.9034248879912523	0.839213213331123	0.04155643359897447	0.9216202734797957	0.9303968692899491	0.458767034086678	1.7841945349213497
第2017回	2	1	3	21.67	1	37	0.02235390489296395	-0.9634231386438888	0.9700146474286917	-0.06399869173770373	-1.040183003548187	-0.15719481927060613	1.9557916909655444
第2016回	2	2	2	21.67	5	39	0.02235390489296395	-0.062104962656382955	0.04155643359897447	-0.06399869173770373	-0.25195105441293253	0.25344641630091663	0.12601530114832138
第2015回	3	1	2	18.67	5	40	0.9481326977771802	-0.9634231386438888	0.04155643359897447	-0.6985173388734334	-0.25195105441293253	0.458767034086678	1.9531122700200436
第2014回	2	3	1	21.17	5	41	0.02235390489296395	0.839213213331123	-0.8869017802307427	-0.1697517995936587	-0.25195105441293253	0.6640876518724393	1.7484688984548296
第2013回	0	3	3	32.67	23	43	-1.8292036808754686	0.839213213331123	0.9700146474286917	2.262569681093305	3.295092716695713	1.0747288874439622	3.638431541635283
第2012回	2	1	3	23.5	2	42	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.323057683015091	-0.8431250162643733	0.8694082696582007	1.9557916909655444
第2011回	0	3	3	29.17	16	41	-1.8292036808754686	0.839213213331123	0.9700146474286917	1.5222979261016205	1.915686805709017	0.6640876518724393	3.638431541635283
第2010回	2	3	1	22.83	12	32	0.02235390489296395	0.839213213331123	-0.8869017802307427	0.18134851848811104	1.1274548565737628	-1.183797908199413	1.7484688984548296
第2009回	5	0	1	12.33	1	40	2.799690283545613	-1.8647413146313947	-0.8869017802307427	-2.0394667464869425	-1.040183003548187	0.458767034086678	5.55133337840775
第2008回	2	1	3	25.67	2	42	0.02235390489296395	-0.9634231386438888	0.9700146474286917	0.7820261711099359	-0.8431250162643733	0.8694082696582007	1.9557916909655444
第2007回	2	2	2	23.5	1	40	0.02235390489296395	-0.062104962656382955	0.04155643359897447	0.323057683015091	-1.040183003548187	0.458767034086678	0.12601530114832138
第2006回	4	0	2	17.83	3	37	1.8739114906613967	-1.8647413146313947	0.04155643359897447	-0.8761825600714385	-0.6460670289805597	-0.15719481927060613	3.780209238891766
