number	mean_dist
42	4.0
7	5.0
2	5.0
21	5.0
28	5.11
5	5.12
22	5.25
12	5.4
38	5.75
29	6.0
10	6.0
39	6.29
11	6.33
33	6.38
16	6.43
43	6.57
31	7.0
37	7.1
30	7.12
1	7.33
41	7.43
35	7.43
26	7.57
20	7.6
18	7.71
6	7.86
15	8.14
40	8.17
14	8.17
13	8.17
19	8.67
27	8.83
3	8.86
34	9.33
24	9.4
25	9.43
17	10.0
8	10.2
23	12.25
4	12.5
32	13.33
9	17.33
36	19.33
